Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EngineIdleRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-02-16 23:42:30.861620,3655,6,807,1,8,9500,800,3745.9363,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3746,0,0
2024-02-16 23:35:32.768401,3655,6,807,1,8,9500,800,3751.6326,54,0.0,0.0,-11.0245,3,0,100,0,0,1.0,3752,0,0
2024-02-16 23:39:35.949940,3655,6,807,1,8,9500,800,3757.897,55,0.0,0.0,-6.2974,3,0,0,0,0,1.0,3758,0,0
2024-02-16 23:42:30.844874,3655,6,807,1,8,9500,800,3765.8875,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3766,0,0
2024-02-16 23:35:29.485031,3655,6,807,1,8,9500,800,3774.9185,49,226.4759,318.5453,-2.6922,3,100,0,0,0,1.0,3775,226,319
2024-02-16 23:35:32.751860,3655,6,807,1,8,9500,800,3783.0544,55,0.0,0.0,-11.0244,3,0,100,0,0,1.0,3783,0,0
2024-02-16 23:34:25.516224,3655,6,807,1,8,9500,800,3784.6448,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3785,0,0
2024-02-16 23:35:29.418657,3655,6,807,1,8,9500,800,3789.4583,50,214.4713,293.8593,-6.972,3,100,100,0,0,1.0,3789,214,294
2024-02-16 23:46:29.838020,3655,6,807,1,8,9500,800,3795.1072,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3795,0,0
2024-02-16 23:37:35.638613,3655,6,807,1,8,9500,800,3798.0813,55,0.0,0.0,-11.0202,3,0,100,0,0,1.0,3798,0,0
2024-02-16 23:35:32.734805,3655,6,807,1,8,9500,800,3798.6646,55,0.0,0.0,-11.0242,3,0,100,0,0,1.0,3799,0,0
2024-02-16 23:42:30.828491,3655,6,807,1,8,9500,800,3800.3572,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3800,0,0
